"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","20.962482","12.500000"
"*","STITCH","21.748733","12.500000"
"*","STITCH","24.748733","12.500000"
"*","STITCH","25.584823","12.500000"
"*","STITCH","25.591145","12.250000"
"*","STITCH","25.498733","12.250000"
"*","STITCH","22.498733","12.250000"
"*","STITCH","20.957659","12.250000"
"*","STITCH","20.945980","12.000000"
"*","STITCH","23.248733","12.000000"
"*","STITCH","25.597466","12.000000"
"*","STITCH","25.594692","11.750000"
"*","STITCH","23.998733","11.750000"
"*","STITCH","20.998733","11.750000"
"*","STITCH","20.930994","11.750000"
"*","STITCH","20.905538","11.500000"
"*","STITCH","21.748733","11.500000"
"*","STITCH","24.748733","11.500000"
"*","STITCH","25.589638","11.500000"
"*","STITCH","25.577592","11.250000"
"*","STITCH","25.498733","11.250000"
"*","STITCH","22.498733","11.250000"
"*","STITCH","20.875756","11.250000"
"*","STITCH","20.838254","11.000000"
"*","STITCH","23.248733","11.000000"
"*","STITCH","25.562403","11.000000"
"*","STITCH","25.541094","10.750000"
"*","STITCH","23.998733","10.750000"
"*","STITCH","20.998733","10.750000"
"*","STITCH","20.790823","10.750000"
"*","STITCH","20.736355","10.500000"
"*","STITCH","21.748733","10.500000"
"*","STITCH","24.748733","10.500000"
"*","STITCH","25.515736","10.500000"
"*","STITCH","25.484882","10.250000"
"*","STITCH","22.498733","10.250000"
"*","STITCH","20.672904","10.250000"
"*","STITCH","20.595707","10.000000"
"*","STITCH","23.248733","10.000000"
"*","STITCH","25.449293","10.000000"
"*","STITCH","25.408571","9.750000"
"*","STITCH","23.998733","9.750000"
"*","STITCH","20.998733","9.750000"
"*","STITCH","20.507724","9.750000"
"*","STITCH","20.407208","9.500000"
"*","STITCH","21.748733","9.500000"
"*","STITCH","24.748733","9.500000"
"*","STITCH","25.362665","9.500000"
"*","STITCH","25.311702","9.250000"
"*","STITCH","22.498733","9.250000"
"*","STITCH","20.292120","9.250000"
"*","STITCH","20.160074","9.000000"
"*","STITCH","20.248733","9.000000"
"*","STITCH","23.248733","9.000000"
"*","STITCH","25.255361","9.000000"
"*","STITCH","25.193729","8.750000"
"*","STITCH","23.998733","8.750000"
"*","STITCH","20.998733","8.750000"
"*","STITCH","20.008269","8.750000"
"*","STITCH","19.833394","8.500000"
"*","STITCH","21.748733","8.500000"
"*","STITCH","24.748733","8.500000"
"*","STITCH","25.126805","8.500000"
"*","STITCH","25.054011","8.250000"
"*","STITCH","22.498733","8.250000"
"*","STITCH","19.631530","8.250000"
"*","STITCH","19.398011","8.000000"
"*","STITCH","20.248733","8.000000"
"*","STITCH","23.248733","8.000000"
"*","STITCH","24.976322","8.000000"
"*","STITCH","24.891798","7.750000"
"*","STITCH","23.998733","7.750000"
"*","STITCH","20.998733","7.750000"
"*","STITCH","19.127253","7.750000"
"*","STITCH","18.801714","7.500000"
"*","STITCH","21.748733","7.500000"
"*","STITCH","24.748733","7.500000"
"*","STITCH","24.803124","7.500000"
"*","STITCH","24.706213","7.250000"
"*","STITCH","22.498733","7.250000"
"*","STITCH","19.498733","7.250000"
"*","STITCH","18.401321","7.250000"
"*","STITCH","17.914309","7.000000"
"*","STITCH","20.248733","7.000000"
"*","STITCH","23.248733","7.000000"
"*","STITCH","24.606294","7.000000"
"*","STITCH","24.496238","6.750000"
"*","STITCH","23.998733","6.750000"
"*","STITCH","20.998733","6.750000"
"*","STITCH","17.998733","6.750000"
"*","STITCH","17.284743","6.750000"
"*","STITCH","16.352476","6.500000"
"*","STITCH","18.748733","6.500000"
"*","STITCH","21.748733","6.500000"
"*","STITCH","24.384064","6.500000"
"*","STITCH","24.260683","6.250000"
"*","STITCH","22.498733","6.250000"
"*","STITCH","19.498733","6.250000"
"*","STITCH","16.498733","6.250000"
"*","STITCH","15.173496","6.250000"
"*","STITCH","15.396332","6.000000"
"*","STITCH","17.248733","6.000000"
"*","STITCH","20.248733","6.000000"
"*","STITCH","23.248733","6.000000"
"*","STITCH","24.133868","6.000000"
"*","STITCH","23.998164","5.750000"
"*","STITCH","20.998733","5.750000"
"*","STITCH","17.998733","5.750000"
"*","STITCH","15.561568","5.750000"
"*","STITCH","15.687109","5.500000"
"*","STITCH","15.748733","5.500000"
"*","STITCH","18.748733","5.500000"
"*","STITCH","21.748733","5.500000"
"*","STITCH","23.855569","5.500000"
"*","STITCH","23.707063","5.250000"
"*","STITCH","22.498733","5.250000"
"*","STITCH","19.498733","5.250000"
"*","STITCH","16.498733","5.250000"
